ThumbNr,ch_1_Area,ch_1_Eccentricity,ch_1_Perimeter,ch_1_MeanIntensity,ch_1_MaxIntensity,ch_1_StandardDeviation,ch_1_Mass,ch_1_P2A,ch_2_Area,ch_2_Eccentricity,ch_2_Perimeter,ch_2_MeanIntensity,ch_2_MaxIntensity,ch_2_StandardDeviation,ch_2_Mass,ch_2_P2A,ch_3_Area,ch_3_Eccentricity,ch_3_Perimeter,ch_3_MeanIntensity,ch_3_MaxIntensity,ch_3_StandardDeviation,ch_3_Mass,ch_3_P2A,ch_4_Area,ch_4_Eccentricity,ch_4_Perimeter,ch_4_MeanIntensity,ch_4_MaxIntensity,ch_4_StandardDeviation,ch_4_Mass,ch_4_P2A,Overlay_ch_1_ch_1,Overlay_ch_2_ch_1,Overlay_ch_2_ch_2,Overlay_ch_3_ch_1,Overlay_ch_3_ch_2,Overlay_ch_3_ch_3,Overlay_ch_4_ch_1,Overlay_ch_4_ch_2,Overlay_ch_4_ch_3,Overlay_ch_4_ch_4
99,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,11,0.781582173964939,9.643,2427.36363636364,2803,378.745104978869,26701,0.672700552447978,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,11,0,0,0,0
100,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,16,0.648692862724933,11.512,2590.375,2946,259.11461427973,41446,0.659130965828385,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,0,16,0,0,0,0
101,0,0,0,NaN,NaN,NaN,0,NaN,123,0.724669650957889,37.902,343.560975609756,681,133.527988491237,42258,0.929414147693585,537,0.895681313905081,90.955,2695.16759776536,4047,1304.71059503016,1447305,1.22593941065998,0,0,0,NaN,NaN,NaN,0,NaN,0,0,123,0,119,537,0,0,0,0
102,0,0,0,NaN,NaN,NaN,0,NaN,147,0.384987160653315,40.739,381.986394557823,602,116.600064991791,56152,0.898449207616672,75,0.41126948559972,29.5,164.093333333333,255,46.2034786725138,12307,0.923363928171479,0,0,0,NaN,NaN,NaN,0,NaN,0,0,147,0,74,75,0,0,0,0
103,0,0,0,NaN,NaN,NaN,0,NaN,190,0.57630532633051,46.71,868.657894736842,1617,369.275142707981,165045,0.913810764400068,336,0.499396701196785,62.812,261.720238095238,502,82.2199761902134,87938,0.934407041684643,0,0,0,NaN,NaN,NaN,0,NaN,0,0,190,0,190,336,0,0,0,0
104,0,0,0,NaN,NaN,NaN,0,NaN,34,0.660868927785427,18.269,185.647058823529,322,75.9225611667418,6312,0.781161391786957,52,0.625975103526255,22.834,111.826923076923,255,57.086010495291,5815,0.797904263690142,0,0,0,NaN,NaN,NaN,0,NaN,0,0,34,0,31,52,0,0,0,0
105,0,0,0,NaN,NaN,NaN,0,NaN,58,0.409961062629561,24.157,540.810344827586,945,232.506740660374,31367,0.800660016226418,164,0.489218748564903,44.626,903.109756097561,2224,529.151050745873,148110,0.966322763211691,99,0.692047706347967,35.338,82.5353535353535,147,26.9577572536969,8171,1.00378077645679,0,0,58,0,36,164,0,15,90,99
106,0,0,0,NaN,NaN,NaN,0,NaN,128,0.639977132989223,38.018,436.359375,786,124.54735268573,55854,0.898584036535344,387,0.822096425714918,74.225,2868.89664082687,4045,1329.09182233236,1110263,1.13286871472245,0,0,0,NaN,NaN,NaN,0,NaN,0,0,128,0,128,387,0,0,0,0
107,0,0,0,NaN,NaN,NaN,0,NaN,265,0.552447303704164,55.038,892.033962264151,1995,370.920878469546,236389,0.909640000631784,849,0.454669580863476,101.963,3168.02709069494,4010,1256.82963787939,2689655,0.974468165076995,556,0.452369799377598,82.123,430.026978417266,975,187.928626452233,239095,0.965261437695223,0,0,265,0,265,849,0,265,556,556
108,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,107,0.345745965311713,33.792,861.607476635514,1798,425.477373564413,92192,0.849247254105594,34,0.599099114087111,18.343,88.7352941176471,125,18.5999492073751,3017,0.787502517926068,0,0,0,0,0,107,0,0,34,34
109,0,0,0,NaN,NaN,NaN,0,NaN,194,0.32739316932545,46.702,670.59793814433,2822,493.394253434463,130096,0.894662769638332,239,0.504426817734628,52.317,708.811715481172,2215,534.794928603937,169406,0.911334685366977,19,0.704911036069678,13.381,41.6315789473684,48,4.64531456076131,791,0.749917824723495,0,0,194,0,185,239,0,19,19,19
110,0,0,0,NaN,NaN,NaN,0,NaN,77,0.715483114416653,30.682,37.8181818181818,56,9.38185156330993,2912,0.97289672621933,262,0.284323691152351,54.484,2005.45419847328,4048,1416.14676186859,525429,0.901626801987815,29,0.846564274549363,18.062,12.7931034482759,18,2.9078626213476,371,0.895207710109594,0,0,77,0,77,262,0,27,29,29
111,0,0,0,NaN,NaN,NaN,0,NaN,332,0.299498994462616,62.25,531.680722891566,1432,375.856814337678,176518,0.928818300700358,501,0.705197552965904,79.03,2586.63273453094,4024,1309.93675604829,1295903,0.992056424656909,0,0,0,NaN,NaN,NaN,0,NaN,0,0,332,0,328,501,0,0,0,0
